"","OR","n_subjects","pre_post_corr","effect_size","beta_Y1_a1","beta_Y1_y0","est_mm","est_mp","est_pm","est_pp","mean_R","mean_Y1","cor_Y0_R","cor_Y0_Y1","cor_R_Y1","rho_hat","r1","r2","p1","p2","from_marg_1","from_cond_1","power1","from_marg_2","from_cond_2","powerA","power2","n_from_marg_1","n_from_cond_1","n_from_marg_2","n_from_cond_2","power_gain_add_wave"
"1",1.51170347861812,300,"no","low",0.1,0,-0.200995397943317,-0.199468348712114,0.217759832671721,0.215417449131743,0.45,0.5,0.23,0.06,0.25,0.06,0.564750457378684,0.335621149424802,0.553298490619541,0.450356565110132,0.297977019899506,0.297661702531697,0.296,0.298858390404651,0.313055331867629,0.298,0.299,1152,1154,1148,1086,0.004
"2",1.51170347861812,500,"no","low",0.1,0,-0.197470028306336,-0.197986367259917,0.219347650978371,0.217543370099703,0.45,0.5,0.23,0.05,0.25,0.06,0.564750457378684,0.335621149424802,0.553298490619541,0.450356565110132,0.454546589718296,0.454081040214377,0.457,0.455693050201591,0.476458658819586,0.458,0.458,1152,1154,1149,1087,0.001
"3",2.00636893642602,300,"no","medium",0.25,0,-0.344936062072968,-0.346033242533566,0.357257966932724,0.360883602446177,0.45,0.5,0.23,0.05,0.27,0.06,0.564750457378684,0.335621149424802,0.587881548784813,0.415539403686091,0.664904226062413,0.664184453336349,0.667,0.666386290908464,0.691935179068326,0.667,0.669,414,415,413,389,0.002
"4",2.00636893642602,500,"no","medium",0.25,0,-0.34447032107699,-0.345889638114672,0.358041233483523,0.35744593369959,0.45,0.5,0.23,0.06,0.27,0.06,0.564750457378684,0.335621149424802,0.587881548784813,0.415539403686091,0.868675925160501,0.86813207591517,0.876,0.869722817700934,0.888242114192561,0.878,0.879,414,415,413,389,0.003
"5",2.98321430190553,300,"no","high",0.46,0,-0.544607532864994,-0.543645040503352,0.562183488962754,0.558893317637245,0.45,0.5,0.23,0.05,0.28,0.06,0.564750457378684,0.335621149424802,0.634877058194593,0.36823315552997,0.955841563241794,0.955487073136818,0.961,0.956425438781669,0.966126611699489,0.962,0.962,176,176,175,165,0.001
"6",2.98321430190553,500,"no","high",0.46,0,-0.541702515817138,-0.542455076104292,0.559637221712923,0.556644709624558,0.45,0.5,0.23,0.05,0.28,0.06,0.564750457378684,0.335621149424802,0.634877058194593,0.36823315552997,0.997202662438001,0.997160403310192,0.999,0.997264541197942,0.998292696245974,0.998,0.998,176,176,175,165,0
"7",1.49670016683251,300,"low","low",0.115,1.2,-0.187104865532462,-0.186833494263401,0.217481288437548,0.219794751126472,0.45,0.5,0.23,0.32,0.3,0.31,0.564750457378684,0.335621149424802,0.553817176133657,0.45334686058599,0.286249459493431,0.285929171819771,0.279,0.312029433354386,0.32430991135511,0.305,0.306,1209,1211,1090,1041,0.027
"8",1.49670016683251,500,"low","low",0.115,1.2,-0.188712264683496,-0.187723945366264,0.221712372835144,0.217295749334187,0.45,0.5,0.23,0.32,0.3,0.31,0.564750457378684,0.335621149424802,0.553817176133657,0.45334686058599,0.43712343771922,0.436644515945129,0.449,0.475349735121002,0.493069756615758,0.484,0.485,1209,1211,1090,1040,0.036
"9",2.01785955570485,300,"low","medium",0.29,1.2,-0.33550708577462,-0.344484332774121,0.373914519340064,0.373891299458489,0.45,0.5,0.23,0.31,0.31,0.31,0.564750457378684,0.335621149424802,0.590399127096674,0.416678941717296,0.671812904375993,0.671462579952678,0.677,0.71553364875168,0.736541798012441,0.722,0.725,408,408,368,351,0.047
"10",2.01785955570485,500,"low","medium",0.29,1.2,-0.336003270831229,-0.338564526557033,0.369660463924308,0.367980395886953,0.45,0.5,0.23,0.31,0.31,0.31,0.564750457378684,0.335621149424802,0.590399127096674,0.416678941717296,0.873840302656594,0.873580857811153,0.88,0.904330509279114,0.917447698054022,0.908,0.909,408,408,368,351,0.029
"11",2.99239868894605,300,"low","high",0.52,1.2,-0.538332091384757,-0.535142342061557,0.573531794849127,0.570435040296528,0.45,0.5,0.23,0.3,0.32,0.3,0.564750457378684,0.335621149424802,0.63723602057931,0.369890260536021,0.956746324608713,0.956901907386267,0.963,0.971014118501368,0.977252193763153,0.976,0.976,175,175,159,151,0.012
"12",2.99239868894605,500,"low","high",0.52,1.2,-0.534275466139448,-0.532721172234039,0.569960507158244,0.569334481344095,0.45,0.5,0.23,0.3,0.32,0.3,0.564750457378684,0.335621149424802,0.63723602057931,0.369890260536021,0.997309162152705,0.997327279047979,0.999,0.998731250013215,0.999192788019622,0.999,0.999,175,175,159,151,0.001
"13",1.50120485685564,300,"high","low",0.22,3,-0.213765349153266,-0.218185167218687,0.193744580605734,0.192179935223821,0.45,0.5,0.23,0.61,0.3,0.61,0.564750457378684,0.335621149424802,0.547570970936533,0.446355552462705,0.289717255437949,0.289839080733325,0.291,0.423249838581085,0.431321755960624,0.427,0.434,1192,1191,755,738,0.143
"14",1.50120485685564,500,"high","low",0.22,3,-0.218052871165023,-0.219634676653995,0.192132609478928,0.195289351486528,0.45,0.5,0.23,0.61,0.3,0.61,0.564750457378684,0.335621149424802,0.547570970936533,0.446355552462705,0.44229836360938,0.442479813023287,0.45,0.627113263078471,0.63713998542046,0.641,0.645,1192,1191,753,735,0.196
"15",1.98034209262789,300,"high","medium",0.45,3,-0.348201681163654,-0.346670835878841,0.341531038115418,0.343933801084849,0.45,0.5,0.23,0.6,0.32,0.6,0.564750457378684,0.335621149424802,0.583374730293109,0.414200591929552,0.648873886809374,0.649412258049538,0.652,0.830759471033007,0.839777626229019,0.848,0.853,430,429,277,270,0.201
"16",1.98034209262789,500,"high","medium",0.45,3,-0.348815720206598,-0.349686652646136,0.339193993195274,0.340423765486045,0.45,0.5,0.23,0.6,0.32,0.6,0.564750457378684,0.335621149424802,0.583374730293109,0.414200591929552,0.856304512769173,0.856728799470752,0.861,0.964881686489206,0.968372202885267,0.968,0.971,430,429,277,270,0.11
"17",2.97759453447846,300,"high","high",0.78,3,-0.540911530851156,-0.53869986938092,0.564350736865859,0.562159635719341,0.45,0.5,0.23,0.56,0.33,0.57,0.564750457378684,0.335621149424802,0.635645281550119,0.369443954745634,0.95530251852865,0.955901972824958,0.962,0.993899204766543,0.994870277681121,0.996,0.996,176,176,119,115,0.035
"18",2.97759453447846,500,"high","high",0.78,3,-0.53491003288858,-0.533547217334214,0.563627491456342,0.562155179170172,0.45,0.5,0.23,0.56,0.33,0.57,0.564750457378684,0.335621149424802,0.635645281550119,0.369443954745634,0.997138283920131,0.997209834072671,0.998,0.999930480633946,0.999949521876329,1,1,176,176,118,115,0.002
